source,target
2830,8961
4302,9237
9559,10273
9055,14868
12766,15609
7536,16728
11256,2059
10761,10586
12477,5105
7186,5005
6293,7220
3240,375
330,7783
13421,6383
9868,10022
11040,8362
1864,8135
12552,12689
9698,13967
3023,6993
4619,16752
2363,8282
1424,6825
828,2013
4211,2202
1625,8006
14193,12481
9030,629
8858,4130
7681,6536
13517,3282
15818,3968
7771,9142
14127,9050
14781,646
7850,6984
1023,1843
7591,9101
2355,8290
5485,5608
6123,15992
14976,131
2721,8767
16211,7762
7691,7690
15409,211
3695,6967
12046,15621
878,6128
15720,4012
15777,15684
615,5266
703,6580
9799,5931
43,5068
10143,16551
8784,13449
3993,9029
573,7764
15026,10360
14812,4360
6747,1681
6307,3644
10201,1537
4563,8825
2134,15868
1063,4029
5028,1012
9627,6135
4275,4287
2685,10600
11028,15512
8354,3947
15323,13414
9956,5456
9685,10110
1864,14868
14231,13614
12046,6586
7761,15030
6802,6908
13521,10806
7840,13854
2405,1314
8635,5403
9825,1783
11737,4959
9461,439
6861,9701
11305,6378
14020,13549
9473,11240
6634,5582
326,6445
6714,4234
12651,13877
13681,4205
6578,7186
15881,1843
2315,5395
11037,3792
6571,5802
4624,10437
9637,6905
8180,13426
13101,3305
794,15334
12088,5588
16273,8038
5810,4825
14680,10822
4139,16759
16814,15886
291,10768
8438,5868
10897,5504
6508,8972
11866,2172
13475,7955
8931,4454
13010,14590
4017,1649
12609,2274
15049,5152
14285,15404
7982,14352
10637,8280
12131,237
622,1342
14608,5214
4923,5555
5847,4110
10541,14985
7981,12884
7650,1843
16063,2034
5729,14810
8563,13934
13491,16344
4595,14563
13082,13898
9895,5372
7648,7703
4590,9148
8317,16636
95,5469
5480,7213
8830,15168
12531,7548
14412,10656
2785,13083
14322,6449
10826,600
10444,15268
2291,16089
9365,8075
3535,8041
2701,2793
8278,4127
6074,9401
6925,3958
6328,5426
11348,2816
4697,3111
9753,12775
3769,7643
6468,14265
1410,10265
14341,15082
10838,15821
7111,5505
3365,3020
9835,12457
15958,3087
3667,1348
10410,15257
7569,1888
9681,13581
10155,13266
5502,5497
2048,9175
11643,6167
10201,11952
9311,13796
5529,14437
3706,2268
5706,5913
4516,16720
332,5759
16596,14153
13806,4085
834,7790
4087,4653
8398,7862
4290,8006
1999,10783
7177,10089
15558,8984
9891,5382
14237,14863
14529,6398
5048,14015
8888,6132
13515,14564
2649,4824
6297,10904
10014,13911
2770,1841
6718,14166
8043,9486
7217,10106
16023,14866
11410,12138
3284,15771
13134,6955
13004,5172
4831,11663
7426,268
5926,13
1221,6203
7295,11765
9952,3937
893,8934
7669,4655
2355,6035
9493,15712
2404,8561
15087,1887
11875,2451
245,5612
14297,14819
4654,7049
1641,11353
1465,13916
11454,3937
1713,15783
256,8020
13959,4326
6046,7752
2477,9819
10371,2856
5759,3768
4657,4665
10884,3798
5308,10426
942,7536
8944,12778
8559,6361
14416,5441
16621,17
3706,6878
12721,236
2898,7978
7149,1623
12689,6602
10292,6836
5020,14019
9699,5118
6750,4785
4825,11247
3309,245
10291,725
7660,2036
6624,3381
14642,8172
13845,14747
7724,1325
7887,8768
1566,3517
16222,11318
5147,9671
5280,7293
7420,12613
16253,15228
13009,797
1400,10415
8277,13475
11161,1325
11892,7283
9594,721
9497,1968
10337,1462
8033,2937
586,12618
3984,5827
12001,2482
11505,11512
12670,4127
6114,2745
7036,2842
6186,835
14130,1654
6274,11231
5046,13964
5388,13529
15338,4975
6283,11159
8181,16031
11356,13307
4540,77
7966,4825
8804,2111
4728,13450
7493,14174
16781,12982
16724,981
1498,10848
12353,2578
11826,13117
33,14120
15743,12056
2044,14688
16007,13768
11237,2760
10003,14229
11397,6307
12657,15311
9954,4252
8240,1252
3533,10851
14833,16765
4576,2451
2306,14996
8329,12092
7181,11131
12657,801
11481,13754
673,4262
8984,8194
12173,5556
31,2197
15898,4825
5484,12611
466,10720
7700,8410
4514,12806
12895,14151
8812,7195
14467,16555
11971,2677
760,13347
15154,8348
7091,15587
857,7055
12239,16302
4614,12794
43,8813
12943,6956
5470,6657
8064,11584
16814,11761
13554,14518
1133,11960
8282,12062
9804,12579
6967,10064
142,11269
8273,6461
12948,13546
6052,2198
13384,3879
873,5952
10884,8135
13829,8203
6913,8727
4000,6002
3140,12622
12288,11856
7356,2465
12046,1856
13471,9250
11955,4033
9533,2543
2692,3518
13050,5400
11606,4994
15464,9518
10644,7990
8068,6406
7687,9825
15033,8371
2975,6288
2099,14916
14667,15638
15178,1369
6756,6833
5313,16681
3325,13486
9759,2275
7873,8948
2095,438
13192,11159
7840,10553
14416,2403
2802,6586
1157,10131
12233,16784
682,2702
4764,11488
11372,7741
12402,245
1698,5477
12523,5107
8018,2314
13017,16734
4619,2404
14485,598
6021,7308
14352,4637
13550,2081
1126,635
2434,12974
13047,10930
16789,14329
7371,15978
15775,7016
13343,6148
9055,2853
11922,9467
8266,11372
1936,12954
5380,12930
8135,6411
160,5473
7036,14001
6500,7908
11651,15572
10248,1504
2569,1116
15492,10583
3423,14230
699,14027
3775,8948
16179,11831
15082,54
15614,7693
7334,11753
12620,1574
6080,4876
8175,1661
502,6717
16087,15873
9544,11311
1697,9456
10232,13605
8278,3845
5452,15251
2777,1324
7303,1846
1147,16093
5473,8770
10244,3856
13660,1397
14646,627
12197,14709
13092,5144
173,4703
6035,1300
12259,6660
3834,15917
7078,8850
6742,11575
13071,6274
6954,13426
16837,3322
4391,13727
15236,15481
11027,1621
12742,6952
9950,7221
3956,15715
6074,14870
10722,15563
4553,8809
15273,5399
10030,14913
11321,11968
1513,5137
13318,13421
2732,3607
8746,4425
16162,5087
183,11357
6993,767
5899,1629
801,83
14209,9866
5662,4793
2405,2903
10160,8237
277,16728
4550,15603
2857,3968
15982,8517
1,6956
4582,13569
15433,9096
12357,2791
12025,15399
4627,185
12938,3444
5847,11404
13309,10928
3284,10221
8349,1843
8412,12458
9638,10410
16713,5219
14375,12516
16366,7803
5521,246
3542,8776
2983,5418
5304,12109
1509,502
15539,14007
4043,3194
2728,10608
16847,11057
14749,1427
8531,4413
3960,12849
5578,9997
9350,3740
13797,5873
33,3474
1899,4180
15263,9145
13445,14690
10337,11316
15998,1612
562,9238
1208,12040
13417,2875
8188,10731
2203,8550
5850,4895
2390,6692
11607,7936
16216,12214
16019,13929
8894,6784
7128,13287
12475,722
6757,2258
8614,5600
16287,5452
10492,4879
119,15061
16023,14331
12170,10422
3949,11330
13301,13376
7459,13248
2218,12652
13707,7643
6429,557
8031,2900
10295,14011
16376,256
14615,10471
9680,7563
6154,16638
7282,6668
15855,10105
12477,14484
11399,13368
9330,8658
15909,1819
8062,6905
4795,8189
1715,15814
6636,13831
7877,3788
6872,15268
10259,5551
5653,2975
11858,1660
11743,2178
9091,5469
827,5477
8262,10604
16231,753
6274,13083
2317,8066
2923,15486
15165,2677
4280,14328
1728,10916
3547,7682
7489,8331
9676,8814
183,11478
16259,11777
6302,13309
7841,2034
11759,11485
4189,10968
16214,13633
16145,4881
8949,9267
16844,6580
12204,11553
3987,12464
1743,515
16586,556
15423,6274
12206,10446
9308,8571
5054,9700
9983,10851
7751,13762
11630,4296
10105,2238
11478,2104
8566,6487
14893,1827
15776,557
13820,7894
1117,9888
4499,14405
12994,106
12778,2773
13063,15428
3214,1749
3203,1424
4736,16227
15626,759
11866,12819
2661,15081
13444,3783
7036,9361
1599,13626
13795,10364
14522,12075
8757,7045
8673,10759
8082,14642
9368,2262
12054,7775
677,4674
6156,12054
7586,13211
9274,12079
15656,13583
1031,7680
8741,677
7120,11359
5857,7891
5544,14845
242,13576
5058,869
485,7202
6891,2928
14539,15064
8007,3606
3668,3311
3278,887
13764,14561
7708,13068
4709,11004
11610,5081
16658,10208
2127,3159
6471,154
2319,3669
8099,3188
4107,15709
12002,2231
7177,12171
16229,12122
14287,4904
1066,4278
6483,12084
1371,1345
13835,10609
12162,13394
13483,8925
7282,13213
16513,3297
7101,8327
6078,11253
11046,14591
11910,5407
378,16201
13641,3927
10740,3947
15718,14713
13674,14234
9456,723
3187,5771
8978,5709
31,4189
2957,99
1517,431
793,3995
6441,7972
6483,12480
3446,12609
3821,11341
389,7180
2044,9084
4544,12524
16284,14210
1974,10919
15458,14855
1662,16219
1288,12387
4139,9963
11138,7752
14621,11200
3798,2853
8160,3334
3979,13883
13231,15634
7394,4633
6694,11472
13248,15063
6505,9868
2785,4824
11140,14991
11132,11324
758,10643
799,14483
15797,12919
5903,7036
4216,3541
15770,8985
11637,11608
5945,12458
14623,13439
7426,7933
13273,12592
16063,2802
12652,5511
15251,1009
12059,12748
682,11731
16305,16148
14781,10529
7220,10826
1748,4636
6995,15489
8073,2259
1717,1075
7036,3826
14142,9551
8883,8947
15375,12088
3345,15273
15988,8066
1513,11944
8869,8135
15993,5144
15558,14528
13278,15420
3881,15920
8865,7027
12239,2610
13701,16827
7184,11982
12742,15517
4717,1187
15773,10110
6857,4264
11502,2034
368,4520
15748,4411
11358,6058
1454,7863
9316,5857
12911,1391
12685,6144
2455,5555
1096,3384
242,11075
13569,11254
16723,2796
4875,9714
7421,15396
12118,3198
7591,7840
10970,3028
6462,16437
4619,15621
13017,10405
13755,14252
9999,13696
10724,10000
14046,2193
9724,8385
11693,12786
13472,7202
5436,1514
3666,10577
10586,6911
2134,14760
9470,16048
5127,16662
14558,2104
13699,2638
10806,14306
12035,4793
15966,6062
6485,11708
6747,12748
6521,11686
16353,4932
15325,5163
15680,5318
3808,13478
8466,14950
10237,12098
16323,12668
11794,1843
9247,10644
14219,12687
1766,2927
6434,1892
11946,7363
7732,11159
12645,9835
11166,9224
2317,6512
14072,7972
3983,1354
14225,5109
6791,10110
4909,2066
15386,13124
10566,9590
3253,12817
502,10652
13845,12147
1556,15191
13696,6040
4874,4577
5459,2221
144,15916
710,15369
13623,688
11717,16172
5619,10574
528,2721
599,10499
6620,4258
5006,11584
2929,7308
11320,7840
13072,5739
8374,9595
13890,7016
11462,6462
16262,15358
9367,9613
14909,15835
5127,6836
10031,10316
1482,3531
3081,9601
9919,5192
2486,1430
3803,5077
14972,12674
9540,16119
8045,13703
14086,7767
8303,14248
6201,6164
15672,14891
13846,3860
15828,1493
6732,6035
1300,15421
6897,620
4506,4198
1759,3136
9834,14024
13035,10217
13742,3143
8169,1175
3830,307
7452,9544
16668,3810
7242,16308
530,14123
6901,7341
6625,14657
14415,8374
10644,14585
14483,5747
6771,9595
5554,3290
11192,11107
9655,10400
7881,15206
4455,12279
12833,3829
2234,4692
14379,11938
3809,11995
8305,770
13484,7940
14755,124
3489,9769
4732,10907
16146,5417
6780,4763
9828,13177
14102,4639
4984,575
15744,7964
8353,500
5318,484
6587,2301
1778,7638
9401,13233
10341,9670
7536,4771
16438,12570
11442,7761
5679,12092
2356,1354
6756,14294
183,8218
12023,4812
15412,4165
8607,12725
6718,551
14981,11359
8534,8920
3767,2268
12118,9644
10900,7477
12316,5320
10752,13097
7790,5622
7987,3206
6487,7388
8798,16137
8073,2057
13341,4950
4085,13065
5378,77
9598,10064
12330,11866
16802,8123
1454,2876
9255,13685
6908,11626
12451,1537
14842,6588
14230,12581
2687,12218
1314,2903
1749,7677
16814,14913
2853,14868
16727,7875
9943,9135
9063,7551
7730,9545
7893,15122
12043,13727
8569,7032
15067,13008
15191,6869
2251,9108
13227,7310
8654,5251
13693,16793
8646,1691
9462,11882
9477,13219
5844,1296
7296,3478
7934,8737
14666,14590
11826,15749
4777,4854
14709,12547
5202,348
964,9759
8341,2381
16629,5144
1537,14111
12610,9213
16734,10106
598,6530
16471,1334
12328,10346
786,7431
15845,6062
4586,884
930,13218
8355,3837
16183,3771
12853,7916
7940,5620
8791,3538
4476,13144
14221,15777
16596,4825
1881,1887
16767,2148
16759,6283
2774,15761
447,1733
2297,8562
1535,3258
5899,4029
3988,12220
12315,3273
16703,6976
13760,10658
6858,5474
15813,3971
3535,2491
3633,7303
16103,10221
16161,7790
9536,4528
9581,12210
16445,6167
5868,592
9472,1737
7380,7131
14703,7057
16603,5755
11997,7080
10434,13970
5033,3983
12963,2964
2420,2654
12173,304
13712,1986
2341,7469
16158,12663
3093,6890
7673,11196
2269,15814
10725,14367
9449,5948
12744,3369
16000,12447
1123,11110
4349,9518
960,99
11611,16681
5509,16733
8569,348
15828,12173
4927,15751
13723,7512
10425,5144
7450,14975
9350,7021
13840,7891
10201,2179
772,3617
16497,6021
2355,1001
11271,8428
16044,9799
13187,4628
2833,4641
5630,4804
11027,13106
10563,8172
15858,1612
5519,12675
16712,5707
3455,10565
13906,9308
11379,15030
7593,15000
13727,6037
15862,10848
9303,11257
5926,14468
11313,9961
15875,14189
7155,1070
4590,12102
13550,11758
4696,7869
8355,224
10328,16324
6553,2848
10777,1071
6046,126
12943,10608
12088,9224
11553,9603
213,10869
2695,7942
8817,1055
3790,15041
1442,7446
3956,15081
6481,14137
2846,7557
13105,2262
9419,3538
9156,244
4284,10823
14129,8814
6316,444
3509,4590
4491,644
10728,7010
14763,4542
16037,4039
6162,13146
16641,1704
15174,9752
2161,11409
10776,6758
13203,9839
11826,2557
15072,3971
12022,5630
8516,11402
12127,9832
6283,6077
11145,3241
115,9016
11068,371
4043,2800
2975,14984
12685,120
7971,10701
7876,40
